prefix,feature_type,level1,level2,level3,level4,description
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:buildingRoofEdgeArea,,,図形面積
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:developmentArea,,,開発面積
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:buildingStructureType,,,構造種別
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:buildingStructureOrgType,,,構造種別（独自）
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:fireproofStructureType,,,耐火構造種別
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:implementingBody,,,事業主体
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:urbanPlanType,,,都市計画区域
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:areaClassificationType,,,区域区分
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:districtsAndZonesType,,,地域地区
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:landUseType,,,土地利用区分
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:reference,,,図面対象番号
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:majorUsage,,,建物利用現況（大分類）
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:majorUsage2,,,建物利用現況（大分類2）
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:orgUsage,,,建物利用現況（中分類）
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:orgUsage2,,,建物利用現況（小分類）
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:detailedUsage,,,建物利用現況（詳細分類）
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:detailedUsage2,,,建物利用現況（詳細分類2）
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:detailedUsage3,,,建物利用現況（詳細分類3）
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:groundFloorUsage,,,1階用途
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:secondFloorUsage,,,2階（以上）用途
