モデルの接頭辞,feature_type,tag1,tag2,tag3,tag4,説明：属性名,データ型,同モデル内の日本語名 重複チェック,,feature_type+tag1+tag2+tag3+tag4,重複チェック,同モデル内の重複チェック,,属性名（1）_抽出,属性名（2）_抽出,属性名（3）_抽出,属性名（4）_抽出
urf,urf:SpecialZoneForPreservationOfHistoricalLandscape,urf:custodian,,,,決定者,,,,urf:SpecialZoneForPreservationOfHistoricalLandscapeurf:custodian,,,,urf:custodian,,,
urf,urf:SpecialZoneForPreservationOfHistoricalLandscape,urf:notificationNumber,,,,告示番号（当初）,,,,urf:SpecialZoneForPreservationOfHistoricalLandscapeurf:notificationNumber,,,,urf:notificationNumber,,,
urf,urf:SpecialZoneForPreservationOfHistoricalLandscape,urf:finalNotificationNumber,,,,告示番号（最終）,,,,urf:SpecialZoneForPreservationOfHistoricalLandscapeurf:finalNotificationNumber,,,,urf:finalNotificationNumber,,,
urf,urf:SpecialZoneForPreservationOfHistoricalLandscape,urf:finalNotificationDate,,,,告示日（最終）,xs:date,,,urf:SpecialZoneForPreservationOfHistoricalLandscapeurf:finalNotificationDate,,,,urf:finalNotificationDate,,,
urf,urf:SpecialZoneForPreservationOfHistoricalLandscape,urf:urbanPlanType,,,,都市計画区域,,,,urf:SpecialZoneForPreservationOfHistoricalLandscapeurf:urbanPlanType,,,,urf:urbanPlanType,,,
urf,urf:SpecialZoneForPreservationOfHistoricalLandscape,urf:areaClassificationType,,,,区域区分,,,,urf:SpecialZoneForPreservationOfHistoricalLandscapeurf:areaClassificationType,,,,urf:areaClassificationType,,,
urf,urf:SpecialZoneForPreservationOfHistoricalLandscape,urf:nominalArea,,,,面積,,,,urf:SpecialZoneForPreservationOfHistoricalLandscapeurf:nominalArea,,,,urf:nominalArea,,,
urf,urf:SpecialZoneForPreservationOfHistoricalLandscape,urf:prefecture,,,,都道府県名,,,,urf:SpecialZoneForPreservationOfHistoricalLandscapeurf:prefecture,,,,urf:prefecture,,,
urf,urf:SpecialZoneForPreservationOfHistoricalLandscape,urf:city,,,,市区町村名,,,,urf:SpecialZoneForPreservationOfHistoricalLandscapeurf:city,,,,urf:city,,,
urf,urf:SpecialZoneForPreservationOfHistoricalLandscape,urf:reference,,,,参考,,,,urf:SpecialZoneForPreservationOfHistoricalLandscapeurf:reference,,,,urf:reference,,,
urf,urf:SpecialZoneForPreservationOfHistoricalLandscape,urf:reason,,,,理由,,,,urf:SpecialZoneForPreservationOfHistoricalLandscapeurf:reason,,,,urf:reason,,,
urf,urf:SpecialZoneForPreservationOfHistoricalLandscape,urf:note,,,,備考,,,,urf:SpecialZoneForPreservationOfHistoricalLandscapeurf:note,,,,urf:note,,,
urf,urf:SpecialZoneForPreservationOfHistoricalLandscape,(urf:surveyYear),,,,調査年度,xs:gYear,,,urf:SpecialZoneForPreservationOfHistoricalLandscape(urf:surveyYear),,,,(urf:surveyYear),,,
urf,urf:SpecialZoneForPreservationOfHistoricalLandscape,urf:lod1MultiSurface,,,,LOD1面（区域）,,,,urf:SpecialZoneForPreservationOfHistoricalLandscapeurf:lod1MultiSurface,,,,urf:lod1MultiSurface,,,
urf,urf:SpecialZoneForPreservationOfHistoricalLandscape,urf:boundary.Boundary,,,,境界,,,,urf:SpecialZoneForPreservationOfHistoricalLandscapeBoundary,,,,Boundary,,,
urf,urf:SpecialZoneForPreservationOfHistoricalLandscape,urf:boundary.Boundary,(urf:class),,,区分,,,,urf:SpecialZoneForPreservationOfHistoricalLandscapeBoundary(urf:class),,,,Boundary,(urf:class),,
urf,urf:SpecialZoneForPreservationOfHistoricalLandscape,urf:boundary.Boundary,urf:function,,,境界線の種類,,,,urf:SpecialZoneForPreservationOfHistoricalLandscapeBoundaryurf:function,,,,Boundary,urf:function,,
urf,urf:SpecialZoneForPreservationOfHistoricalLandscape,urf:boundary.Boundary,urf:usage,,,区域の種類,,,,urf:SpecialZoneForPreservationOfHistoricalLandscapeBoundaryurf:usage,,,,Boundary,urf:usage,,
urf,urf:SpecialZoneForPreservationOfHistoricalLandscape,urf:boundary.Boundary,urf:offset,,,オフセット量,,,,urf:SpecialZoneForPreservationOfHistoricalLandscapeBoundaryurf:offset,,,,Boundary,urf:offset,,
urf,urf:SpecialZoneForPreservationOfHistoricalLandscape,urf:boundary.Boundary,urf:offsetDirection,,,オフセット向き,,,,urf:SpecialZoneForPreservationOfHistoricalLandscapeBoundaryurf:offsetDirection,,,,Boundary,urf:offsetDirection,,
urf,urf:SpecialZoneForPreservationOfHistoricalLandscape,urf:boundary.Boundary,urf:location,,,境界線位置,,,,urf:SpecialZoneForPreservationOfHistoricalLandscapeBoundaryurf:location,,,,Boundary,urf:location,,
urf,urf:SpecialZoneForPreservationOfHistoricalLandscape,urf:location,,,,位置,,,,urf:SpecialZoneForPreservationOfHistoricalLandscapeurf:location,,,,urf:location,,,
urf,urf:SpecialZoneForPreservationOfHistoricalLandscape,urf:areaInTotal,,,,面積（合計）,,,,urf:SpecialZoneForPreservationOfHistoricalLandscapeurf:areaInTotal,,,,urf:areaInTotal,,,
urf,urf:ZoneForPreservationOfHistoricalLandscape,,,,,第一種歴史的風土保存地区又は第二種歴史的風土保存地区,,,,urf:ZoneForPreservationOfHistoricalLandscape,,,,,,,
urf,urf:ZoneForPreservationOfHistoricalLandscape,gml:description,,,,説明,,,,urf:ZoneForPreservationOfHistoricalLandscapegml:description,,,,gml:description,,,
urf,urf:ZoneForPreservationOfHistoricalLandscape,gml:name,,,,名称,,,,urf:ZoneForPreservationOfHistoricalLandscapegml:name,,,,gml:name,,,
urf,urf:ZoneForPreservationOfHistoricalLandscape,(gml:boundedBy),,,,範囲,,,,urf:ZoneForPreservationOfHistoricalLandscape(gml:boundedBy),,,,(gml:boundedBy),,,
urf,urf:ZoneForPreservationOfHistoricalLandscape,core:creationDate,,,,データ作成日,xs:date,,,urf:ZoneForPreservationOfHistoricalLandscapecore:creationDate,,,,core:creationDate,,,
urf,urf:ZoneForPreservationOfHistoricalLandscape,core:terminationDate,,,,データ削除日,xs:date,,,urf:ZoneForPreservationOfHistoricalLandscapecore:terminationDate,,,,core:terminationDate,,,
urf,urf:ZoneForPreservationOfHistoricalLandscape,(core:relativeToTerrain),,,,地表との関係,,,,urf:ZoneForPreservationOfHistoricalLandscape(core:relativeToTerrain),,,,(core:relativeToTerrain),,,
urf,urf:ZoneForPreservationOfHistoricalLandscape,(core:relativeToWater),,,,水面との関係,,,,urf:ZoneForPreservationOfHistoricalLandscape(core:relativeToWater),,,,(core:relativeToWater),,,
urf,urf:ZoneForPreservationOfHistoricalLandscape,(urf:class),,,,分類,,,,urf:ZoneForPreservationOfHistoricalLandscape(urf:class),,,,(urf:class),,,
urf,urf:ZoneForPreservationOfHistoricalLandscape,urf:function,,,,地域地区の種類,,,,urf:ZoneForPreservationOfHistoricalLandscapeurf:function,,,,urf:function,,,
urf,urf:ZoneForPreservationOfHistoricalLandscape,(urf:usage),,,,用途,,,,urf:ZoneForPreservationOfHistoricalLandscape(urf:usage),,,,(urf:usage),,,
urf,urf:ZoneForPreservationOfHistoricalLandscape,urf:validFrom,,,,効力を生じる日,xs:date,,,urf:ZoneForPreservationOfHistoricalLandscapeurf:validFrom,,,,urf:validFrom,,,
urf,urf:ZoneForPreservationOfHistoricalLandscape,urf:validFromType,,,,効力を生じる日の区分,,,,urf:ZoneForPreservationOfHistoricalLandscapeurf:validFromType,,,,urf:validFromType,,,
urf,urf:ZoneForPreservationOfHistoricalLandscape,urf:enactmentFiscalYear,,,,決定年度,xs:gYear,,,urf:ZoneForPreservationOfHistoricalLandscapeurf:enactmentFiscalYear,,,,urf:enactmentFiscalYear,,,
urf,urf:ZoneForPreservationOfHistoricalLandscape,urf:validTo,,,,効力を失う日,xs:date,,,urf:ZoneForPreservationOfHistoricalLandscapeurf:validTo,,,,urf:validTo,,,
urf,urf:ZoneForPreservationOfHistoricalLandscape,urf:validToType,,,,効力を失う日の区分,,,,urf:ZoneForPreservationOfHistoricalLandscapeurf:validToType,,,,urf:validToType,,,
urf,urf:ZoneForPreservationOfHistoricalLandscape,urf:expirationFiscalYear,,,,廃止年度,xs:gYear,,,urf:ZoneForPreservationOfHistoricalLandscapeurf:expirationFiscalYear,,,,urf:expirationFiscalYear,,,
urf,urf:ZoneForPreservationOfHistoricalLandscape,urf:legalGrounds,,,,法的背景,,,,urf:ZoneForPreservationOfHistoricalLandscapeurf:legalGrounds,,,,urf:legalGrounds,,,
urf,urf:ZoneForPreservationOfHistoricalLandscape,urf:custodian,,,,決定者,,,,urf:ZoneForPreservationOfHistoricalLandscapeurf:custodian,,,,urf:custodian,,,
urf,urf:ZoneForPreservationOfHistoricalLandscape,urf:notificationNumber,,,,告示番号（当初）,,,,urf:ZoneForPreservationOfHistoricalLandscapeurf:notificationNumber,,,,urf:notificationNumber,,,
urf,urf:ZoneForPreservationOfHistoricalLandscape,urf:finalNotificationNumber,,,,告示番号（最終）,,,,urf:ZoneForPreservationOfHistoricalLandscapeurf:finalNotificationNumber,,,,urf:finalNotificationNumber,,,
urf,urf:ZoneForPreservationOfHistoricalLandscape,urf:finalNotificationDate,,,,告示日（最終）,xs:date,,,urf:ZoneForPreservationOfHistoricalLandscapeurf:finalNotificationDate,,,,urf:finalNotificationDate,,,
urf,urf:ZoneForPreservationOfHistoricalLandscape,urf:urbanPlanType,,,,都市計画区域,,,,urf:ZoneForPreservationOfHistoricalLandscapeurf:urbanPlanType,,,,urf:urbanPlanType,,,
urf,urf:ZoneForPreservationOfHistoricalLandscape,urf:areaClassificationType,,,,区域区分,,,,urf:ZoneForPreservationOfHistoricalLandscapeurf:areaClassificationType,,,,urf:areaClassificationType,,,
urf,urf:ZoneForPreservationOfHistoricalLandscape,urf:nominalArea,,,,面積,,,,urf:ZoneForPreservationOfHistoricalLandscapeurf:nominalArea,,,,urf:nominalArea,,,
urf,urf:ZoneForPreservationOfHistoricalLandscape,urf:prefecture,,,,都道府県名,,,,urf:ZoneForPreservationOfHistoricalLandscapeurf:prefecture,,,,urf:prefecture,,,
urf,urf:ZoneForPreservationOfHistoricalLandscape,urf:city,,,,市区町村名,,,,urf:ZoneForPreservationOfHistoricalLandscapeurf:city,,,,urf:city,,,
urf,urf:ZoneForPreservationOfHistoricalLandscape,urf:reference,,,,参考,,,,urf:ZoneForPreservationOfHistoricalLandscapeurf:reference,,,,urf:reference,,,
urf,urf:ZoneForPreservationOfHistoricalLandscape,urf:reason,,,,理由,,,,urf:ZoneForPreservationOfHistoricalLandscapeurf:reason,,,,urf:reason,,,
urf,urf:ZoneForPreservationOfHistoricalLandscape,urf:note,,,,備考,,,,urf:ZoneForPreservationOfHistoricalLandscapeurf:note,,,,urf:note,,,
urf,urf:ZoneForPreservationOfHistoricalLandscape,(urf:surveyYear),,,,調査年度,xs:gYear,,,urf:ZoneForPreservationOfHistoricalLandscape(urf:surveyYear),,,,(urf:surveyYear),,,
urf,urf:ZoneForPreservationOfHistoricalLandscape,urf:lod1MultiSurface,,,,LOD1面（区域）,,,,urf:ZoneForPreservationOfHistoricalLandscapeurf:lod1MultiSurface,,,,urf:lod1MultiSurface,,,
urf,urf:ZoneForPreservationOfHistoricalLandscape,urf:boundary.Boundary,,,,境界,,,,urf:ZoneForPreservationOfHistoricalLandscapeBoundary,,,,Boundary,,,
urf,urf:ZoneForPreservationOfHistoricalLandscape,urf:boundary.Boundary,(urf:class),,,区分,,,,urf:ZoneForPreservationOfHistoricalLandscapeBoundary(urf:class),,,,Boundary,(urf:class),,
urf,urf:ZoneForPreservationOfHistoricalLandscape,urf:boundary.Boundary,urf:function,,,境界線の種類,,,,urf:ZoneForPreservationOfHistoricalLandscapeBoundaryurf:function,,,,Boundary,urf:function,,
urf,urf:ZoneForPreservationOfHistoricalLandscape,urf:boundary.Boundary,urf:usage,,,区域の種類,,,,urf:ZoneForPreservationOfHistoricalLandscapeBoundaryurf:usage,,,,Boundary,urf:usage,,
urf,urf:ZoneForPreservationOfHistoricalLandscape,urf:boundary.Boundary,urf:offset,,,オフセット量,,,,urf:ZoneForPreservationOfHistoricalLandscapeBoundaryurf:offset,,,,Boundary,urf:offset,,
urf,urf:ZoneForPreservationOfHistoricalLandscape,urf:boundary.Boundary,urf:offsetDirection,,,オフセット向き,,,,urf:ZoneForPreservationOfHistoricalLandscapeBoundaryurf:offsetDirection,,,,Boundary,urf:offsetDirection,,
urf,urf:ZoneForPreservationOfHistoricalLandscape,urf:boundary.Boundary,urf:location,,,境界線位置,,,,urf:ZoneForPreservationOfHistoricalLandscapeBoundaryurf:location,,,,Boundary,urf:location,,
urf,urf:ZoneForPreservationOfHistoricalLandscape,urf:location,,,,位置,,,,urf:ZoneForPreservationOfHistoricalLandscapeurf:location,,,,urf:location,,,
urf,urf:ZoneForPreservationOfHistoricalLandscape,urf:areaInTotal,,,,面積（合計）,,,,urf:ZoneForPreservationOfHistoricalLandscapeurf:areaInTotal,,,,urf:areaInTotal,,,
urf,urf:GreenSpaceConservationDistrict,,,,,緑地保全地域,,,,urf:GreenSpaceConservationDistrict,,,,,,,
urf,urf:GreenSpaceConservationDistrict,gml:description,,,,説明,,,,urf:GreenSpaceConservationDistrictgml:description,,,,gml:description,,,
urf,urf:GreenSpaceConservationDistrict,gml:name,,,,名称,,,,urf:GreenSpaceConservationDistrictgml:name,,,,gml:name,,,
urf,urf:GreenSpaceConservationDistrict,(gml:boundedBy),,,,範囲,,,,urf:GreenSpaceConservationDistrict(gml:boundedBy),,,,(gml:boundedBy),,,
urf,urf:GreenSpaceConservationDistrict,core:creationDate,,,,データ作成日,xs:date,,,urf:GreenSpaceConservationDistrictcore:creationDate,,,,core:creationDate,,,
urf,urf:GreenSpaceConservationDistrict,core:terminationDate,,,,データ削除日,xs:date,,,urf:GreenSpaceConservationDistrictcore:terminationDate,,,,core:terminationDate,,,
urf,urf:GreenSpaceConservationDistrict,(core:relativeToTerrain),,,,地表との関係,,,,urf:GreenSpaceConservationDistrict(core:relativeToTerrain),,,,(core:relativeToTerrain),,,
urf,urf:GreenSpaceConservationDistrict,(core:relativeToWater),,,,水面との関係,,,,urf:GreenSpaceConservationDistrict(core:relativeToWater),,,,(core:relativeToWater),,,
urf,urf:GreenSpaceConservationDistrict,(urf:class),,,,分類,,,,urf:GreenSpaceConservationDistrict(urf:class),,,,(urf:class),,,
urf,urf:GreenSpaceConservationDistrict,urf:function,,,,地域地区の種類,,,,urf:GreenSpaceConservationDistricturf:function,,,,urf:function,,,
urf,urf:GreenSpaceConservationDistrict,(urf:usage),,,,用途,,,,urf:GreenSpaceConservationDistrict(urf:usage),,,,(urf:usage),,,
urf,urf:GreenSpaceConservationDistrict,urf:validFrom,,,,効力を生じる日,xs:date,,,urf:GreenSpaceConservationDistricturf:validFrom,,,,urf:validFrom,,,
urf,urf:GreenSpaceConservationDistrict,urf:validFromType,,,,効力を生じる日の区分,,,,urf:GreenSpaceConservationDistricturf:validFromType,,,,urf:validFromType,,,
urf,urf:GreenSpaceConservationDistrict,urf:enactmentFiscalYear,,,,決定年度,xs:gYear,,,urf:GreenSpaceConservationDistricturf:enactmentFiscalYear,,,,urf:enactmentFiscalYear,,,
urf,urf:GreenSpaceConservationDistrict,urf:validTo,,,,効力を失う日,xs:date,,,urf:GreenSpaceConservationDistricturf:validTo,,,,urf:validTo,,,
urf,urf:GreenSpaceConservationDistrict,urf:validToType,,,,効力を失う日の区分,,,,urf:GreenSpaceConservationDistricturf:validToType,,,,urf:validToType,,,
urf,urf:GreenSpaceConservationDistrict,urf:expirationFiscalYear,,,,廃止年度,xs:gYear,,,urf:GreenSpaceConservationDistricturf:expirationFiscalYear,,,,urf:expirationFiscalYear,,,
urf,urf:GreenSpaceConservationDistrict,urf:legalGrounds,,,,法的背景,,,,urf:GreenSpaceConservationDistricturf:legalGrounds,,,,urf:legalGrounds,,,
urf,urf:GreenSpaceConservationDistrict,urf:custodian,,,,決定者,,,,urf:GreenSpaceConservationDistricturf:custodian,,,,urf:custodian,,,
urf,urf:GreenSpaceConservationDistrict,urf:notificationNumber,,,,告示番号（当初）,,,,urf:GreenSpaceConservationDistricturf:notificationNumber,,,,urf:notificationNumber,,,
urf,urf:GreenSpaceConservationDistrict,urf:finalNotificationNumber,,,,告示番号（最終）,,,,urf:GreenSpaceConservationDistricturf:finalNotificationNumber,,,,urf:finalNotificationNumber,,,
urf,urf:GreenSpaceConservationDistrict,urf:finalNotificationDate,,,,告示日（最終）,xs:date,,,urf:GreenSpaceConservationDistricturf:finalNotificationDate,,,,urf:finalNotificationDate,,,
urf,urf:GreenSpaceConservationDistrict,urf:urbanPlanType,,,,都市計画区域,,,,urf:GreenSpaceConservationDistricturf:urbanPlanType,,,,urf:urbanPlanType,,,
urf,urf:GreenSpaceConservationDistrict,urf:areaClassificationType,,,,区域区分,,,,urf:GreenSpaceConservationDistricturf:areaClassificationType,,,,urf:areaClassificationType,,,
urf,urf:GreenSpaceConservationDistrict,urf:nominalArea,,,,面積,,,,urf:GreenSpaceConservationDistricturf:nominalArea,,,,urf:nominalArea,,,
urf,urf:GreenSpaceConservationDistrict,urf:prefecture,,,,都道府県名,,,,urf:GreenSpaceConservationDistricturf:prefecture,,,,urf:prefecture,,,
urf,urf:GreenSpaceConservationDistrict,urf:city,,,,市区町村名,,,,urf:GreenSpaceConservationDistricturf:city,,,,urf:city,,,
urf,urf:GreenSpaceConservationDistrict,urf:reference,,,,参考,,,,urf:GreenSpaceConservationDistricturf:reference,,,,urf:reference,,,
urf,urf:GreenSpaceConservationDistrict,urf:reason,,,,理由,,,,urf:GreenSpaceConservationDistricturf:reason,,,,urf:reason,,,
urf,urf:GreenSpaceConservationDistrict,urf:note,,,,備考,,,,urf:GreenSpaceConservationDistricturf:note,,,,urf:note,,,
urf,urf:GreenSpaceConservationDistrict,(urf:surveyYear),,,,調査年度,xs:gYear,,,urf:GreenSpaceConservationDistrict(urf:surveyYear),,,,(urf:surveyYear),,,
urf,urf:GreenSpaceConservationDistrict,urf:lod1MultiSurface,,,,LOD1面（区域）,,,,urf:GreenSpaceConservationDistricturf:lod1MultiSurface,,,,urf:lod1MultiSurface,,,
urf,urf:GreenSpaceConservationDistrict,urf:boundary.Boundary,,,,境界,,,,urf:GreenSpaceConservationDistrictBoundary,,,,Boundary,,,
urf,urf:GreenSpaceConservationDistrict,urf:boundary.Boundary,(urf:class),,,区分,,,,urf:GreenSpaceConservationDistrictBoundary(urf:class),,,,Boundary,(urf:class),,
urf,urf:GreenSpaceConservationDistrict,urf:boundary.Boundary,urf:function,,,境界線の種類,,,,urf:GreenSpaceConservationDistrictBoundaryurf:function,,,,Boundary,urf:function,,
urf,urf:GreenSpaceConservationDistrict,urf:boundary.Boundary,urf:usage,,,区域の種類,,,,urf:GreenSpaceConservationDistrictBoundaryurf:usage,,,,Boundary,urf:usage,,
urf,urf:GreenSpaceConservationDistrict,urf:boundary.Boundary,urf:offset,,,オフセット量,,,,urf:GreenSpaceConservationDistrictBoundaryurf:offset,,,,Boundary,urf:offset,,
urf,urf:GreenSpaceConservationDistrict,urf:boundary.Boundary,urf:offsetDirection,,,オフセット向き,,,,urf:GreenSpaceConservationDistrictBoundaryurf:offsetDirection,,,,Boundary,urf:offsetDirection,,
urf,urf:GreenSpaceConservationDistrict,urf:boundary.Boundary,urf:location,,,境界線位置,,,,urf:GreenSpaceConservationDistrictBoundaryurf:location,,,,Boundary,urf:location,,
urf,urf:GreenSpaceConservationDistrict,urf:location,,,,位置,,,,urf:GreenSpaceConservationDistricturf:location,,,,urf:location,,,
urf,urf:GreenSpaceConservationDistrict,urf:areaInTotal,,,,面積（合計）,,,,urf:GreenSpaceConservationDistricturf:areaInTotal,,,,urf:areaInTotal,,,
urf,urf:SpecialGreenSpaceConservationDistrict,,,,,特別緑地保全地域,,,,urf:SpecialGreenSpaceConservationDistrict,,,,,,,
urf,urf:SpecialGreenSpaceConservationDistrict,gml:description,,,,説明,,,,urf:SpecialGreenSpaceConservationDistrictgml:description,,,,gml:description,,,
urf,urf:SpecialGreenSpaceConservationDistrict,gml:name,,,,名称,,,,urf:SpecialGreenSpaceConservationDistrictgml:name,,,,gml:name,,,
urf,urf:SpecialGreenSpaceConservationDistrict,(gml:boundedBy),,,,範囲,,,,urf:SpecialGreenSpaceConservationDistrict(gml:boundedBy),,,,(gml:boundedBy),,,
urf,urf:SpecialGreenSpaceConservationDistrict,core:creationDate,,,,データ作成日,xs:date,,,urf:SpecialGreenSpaceConservationDistrictcore:creationDate,,,,core:creationDate,,,
urf,urf:SpecialGreenSpaceConservationDistrict,core:terminationDate,,,,データ削除日,xs:date,,,urf:SpecialGreenSpaceConservationDistrictcore:terminationDate,,,,core:terminationDate,,,
urf,urf:SpecialGreenSpaceConservationDistrict,(core:relativeToTerrain),,,,地表との関係,,,,urf:SpecialGreenSpaceConservationDistrict(core:relativeToTerrain),,,,(core:relativeToTerrain),,,
urf,urf:SpecialGreenSpaceConservationDistrict,(core:relativeToWater),,,,水面との関係,,,,urf:SpecialGreenSpaceConservationDistrict(core:relativeToWater),,,,(core:relativeToWater),,,
urf,urf:SpecialGreenSpaceConservationDistrict,(urf:class),,,,分類,,,,urf:SpecialGreenSpaceConservationDistrict(urf:class),,,,(urf:class),,,
urf,urf:SpecialGreenSpaceConservationDistrict,urf:function,,,,地域地区の種類,,,,urf:SpecialGreenSpaceConservationDistricturf:function,,,,urf:function,,,
urf,urf:SpecialGreenSpaceConservationDistrict,(urf:usage),,,,用途,,,,urf:SpecialGreenSpaceConservationDistrict(urf:usage),,,,(urf:usage),,,
urf,urf:SpecialGreenSpaceConservationDistrict,urf:validFrom,,,,効力を生じる日,xs:date,,,urf:SpecialGreenSpaceConservationDistricturf:validFrom,,,,urf:validFrom,,,
urf,urf:SpecialGreenSpaceConservationDistrict,urf:validFromType,,,,効力を生じる日の区分,,,,urf:SpecialGreenSpaceConservationDistricturf:validFromType,,,,urf:validFromType,,,
urf,urf:SpecialGreenSpaceConservationDistrict,urf:enactmentFiscalYear,,,,決定年度,xs:gYear,,,urf:SpecialGreenSpaceConservationDistricturf:enactmentFiscalYear,,,,urf:enactmentFiscalYear,,,
urf,urf:SpecialGreenSpaceConservationDistrict,urf:validTo,,,,効力を失う日,xs:date,,,urf:SpecialGreenSpaceConservationDistricturf:validTo,,,,urf:validTo,,,
urf,urf:SpecialGreenSpaceConservationDistrict,urf:validToType,,,,効力を失う日の区分,,,,urf:SpecialGreenSpaceConservationDistricturf:validToType,,,,urf:validToType,,,
urf,urf:SpecialGreenSpaceConservationDistrict,urf:expirationFiscalYear,,,,廃止年度,xs:gYear,,,urf:SpecialGreenSpaceConservationDistricturf:expirationFiscalYear,,,,urf:expirationFiscalYear,,,
urf,urf:SpecialGreenSpaceConservationDistrict,urf:legalGrounds,,,,法的背景,,,,urf:SpecialGreenSpaceConservationDistricturf:legalGrounds,,,,urf:legalGrounds,,,
urf,urf:SpecialGreenSpaceConservationDistrict,urf:custodian,,,,決定者,,,,urf:SpecialGreenSpaceConservationDistricturf:custodian,,,,urf:custodian,,,
urf,urf:SpecialGreenSpaceConservationDistrict,urf:notificationNumber,,,,告示番号（当初）,,,,urf:SpecialGreenSpaceConservationDistricturf:notificationNumber,,,,urf:notificationNumber,,,
urf,urf:SpecialGreenSpaceConservationDistrict,urf:finalNotificationNumber,,,,告示番号（最終）,,,,urf:SpecialGreenSpaceConservationDistricturf:finalNotificationNumber,,,,urf:finalNotificationNumber,,,
urf,urf:SpecialGreenSpaceConservationDistrict,urf:finalNotificationDate,,,,告示日（最終）,xs:date,,,urf:SpecialGreenSpaceConservationDistricturf:finalNotificationDate,,,,urf:finalNotificationDate,,,
urf,urf:SpecialGreenSpaceConservationDistrict,urf:urbanPlanType,,,,都市計画区域,,,,urf:SpecialGreenSpaceConservationDistricturf:urbanPlanType,,,,urf:urbanPlanType,,,
urf,urf:SpecialGreenSpaceConservationDistrict,urf:areaClassificationType,,,,区域区分,,,,urf:SpecialGreenSpaceConservationDistricturf:areaClassificationType,,,,urf:areaClassificationType,,,
urf,urf:SpecialGreenSpaceConservationDistrict,urf:nominalArea,,,,面積,,,,urf:SpecialGreenSpaceConservationDistricturf:nominalArea,,,,urf:nominalArea,,,
urf,urf:SpecialGreenSpaceConservationDistrict,urf:prefecture,,,,都道府県名,,,,urf:SpecialGreenSpaceConservationDistricturf:prefecture,,,,urf:prefecture,,,
urf,urf:SpecialGreenSpaceConservationDistrict,urf:city,,,,市区町村名,,,,urf:SpecialGreenSpaceConservationDistricturf:city,,,,urf:city,,,
urf,urf:SpecialGreenSpaceConservationDistrict,urf:reference,,,,参考,,,,urf:SpecialGreenSpaceConservationDistricturf:reference,,,,urf:reference,,,
urf,urf:SpecialGreenSpaceConservationDistrict,urf:reason,,,,理由,,,,urf:SpecialGreenSpaceConservationDistricturf:reason,,,,urf:reason,,,
urf,urf:SpecialGreenSpaceConservationDistrict,urf:note,,,,備考,,,,urf:SpecialGreenSpaceConservationDistricturf:note,,,,urf:note,,,
urf,urf:SpecialGreenSpaceConservationDistrict,(urf:surveyYear),,,,調査年度,xs:gYear,,,urf:SpecialGreenSpaceConservationDistrict(urf:surveyYear),,,,(urf:surveyYear),,,
urf,urf:SpecialGreenSpaceConservationDistrict,urf:lod1MultiSurface,,,,LOD1面（区域）,,,,urf:SpecialGreenSpaceConservationDistricturf:lod1MultiSurface,,,,urf:lod1MultiSurface,,,
urf,urf:SpecialGreenSpaceConservationDistrict,urf:boundary.Boundary,,,,境界,,,,urf:SpecialGreenSpaceConservationDistrictBoundary,,,,Boundary,,,
urf,urf:SpecialGreenSpaceConservationDistrict,urf:boundary.Boundary,(urf:class),,,区分,,,,urf:SpecialGreenSpaceConservationDistrictBoundary(urf:class),,,,Boundary,(urf:class),,
urf,urf:SpecialGreenSpaceConservationDistrict,urf:boundary.Boundary,urf:function,,,境界線の種類,,,,urf:SpecialGreenSpaceConservationDistrictBoundaryurf:function,,,,Boundary,urf:function,,
urf,urf:SpecialGreenSpaceConservationDistrict,urf:boundary.Boundary,urf:usage,,,区域の種類,,,,urf:SpecialGreenSpaceConservationDistrictBoundaryurf:usage,,,,Boundary,urf:usage,,
urf,urf:SpecialGreenSpaceConservationDistrict,urf:boundary.Boundary,urf:offset,,,オフセット量,,,,urf:SpecialGreenSpaceConservationDistrictBoundaryurf:offset,,,,Boundary,urf:offset,,
urf,urf:SpecialGreenSpaceConservationDistrict,urf:boundary.Boundary,urf:offsetDirection,,,オフセット向き,,,,urf:SpecialGreenSpaceConservationDistrictBoundaryurf:offsetDirection,,,,Boundary,urf:offsetDirection,,
urf,urf:SpecialGreenSpaceConservationDistrict,urf:boundary.Boundary,urf:location,,,境界線位置,,,,urf:SpecialGreenSpaceConservationDistrictBoundaryurf:location,,,,Boundary,urf:location,,
urf,urf:SpecialGreenSpaceConservationDistrict,urf:location,,,,位置,,,,urf:SpecialGreenSpaceConservationDistricturf:location,,,,urf:location,,,
urf,urf:SpecialGreenSpaceConservationDistrict,urf:areaInTotal,,,,面積（合計）,,,,urf:SpecialGreenSpaceConservationDistricturf:areaInTotal,,,,urf:areaInTotal,,,
urf,urf:SpecialGreenSpaceConservationDistrict,urf:requirement,,,,指定の要件,,,,urf:SpecialGreenSpaceConservationDistricturf:requirement,,,,urf:requirement,,,
urf,urf:TreePlantingDistrict,,,,,緑化地域,,,,urf:TreePlantingDistrict,,,,,,,
urf,urf:TreePlantingDistrict,gml:description,,,,説明,,,,urf:TreePlantingDistrictgml:description,,,,gml:description,,,
urf,urf:TreePlantingDistrict,gml:name,,,,名称,,,,urf:TreePlantingDistrictgml:name,,,,gml:name,,,
