モデルの接頭辞,feature_type,tag1,tag2,tag3,tag4,説明：属性名,データ型,同モデル内の日本語名 重複チェック,,feature_type+tag1+tag2+tag3+tag4,重複チェック,同モデル内の重複チェック,,属性名（1）_抽出,属性名（2）_抽出,属性名（3）_抽出,属性名（4）_抽出
bldg,bldg:Building,uro:buildingIDAttribute.uro:BuildingIDAttribute,uro:buildingID,,,建物ID,,,,bldg:Buildinguro:BuildingIDAttributeuro:buildingID,,,,uro:BuildingIDAttribute,uro:buildingID,,
bldg,bldg:Building,uro:buildingIDAttribute.uro:BuildingIDAttribute,uro:branchID,,,建物ID枝番,,,,bldg:Buildinguro:BuildingIDAttributeuro:branchID,,,,uro:BuildingIDAttribute,uro:branchID,,
bldg,bldg:Building,uro:buildingIDAttribute.uro:BuildingIDAttribute,(uro:partID),,,建築物部分ID,,,,bldg:Buildinguro:BuildingIDAttribute(uro:partID),,,,uro:BuildingIDAttribute,(uro:partID),,
bldg,bldg:Building,uro:buildingIDAttribute.uro:BuildingIDAttribute,uro:prefecture,,,都道府県,,,,bldg:Buildinguro:BuildingIDAttributeuro:prefecture,,,,uro:BuildingIDAttribute,uro:prefecture,,
bldg,bldg:Building,uro:buildingIDAttribute.uro:BuildingIDAttribute,uro:city,,,市区町村,,,,bldg:Buildinguro:BuildingIDAttributeuro:city,,,,uro:BuildingIDAttribute,uro:city,,
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,,,,建物利用現況,,,,bldg:Buildinguro:BuildingDetailAttribute,,,,uro:BuildingDetailAttribute,,,
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:serialNumberOfBuildingCertification,,,建築確認申請番号,,,,bldg:Buildinguro:BuildingDetailAttributeuro:serialNumberOfBuildingCertification,,,,uro:BuildingDetailAttribute,uro:serialNumberOfBuildingCertification,,
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:siteArea,,,敷地面積,,,,bldg:Buildinguro:BuildingDetailAttributeuro:siteArea,,,,uro:BuildingDetailAttribute,uro:siteArea,,
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:totalFloorArea,,,延床面積,,,,bldg:Buildinguro:BuildingDetailAttributeuro:totalFloorArea,,,,uro:BuildingDetailAttribute,uro:totalFloorArea,,
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:buildingFootprintArea,,,建築面積,,,,bldg:Buildinguro:BuildingDetailAttributeuro:buildingFootprintArea,,,,uro:BuildingDetailAttribute,uro:buildingFootprintArea,,
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:buildingRoofEdgeArea,,,図形面積,,,,bldg:Buildinguro:BuildingDetailAttributeuro:buildingRoofEdgeArea,,,,uro:BuildingDetailAttribute,uro:buildingRoofEdgeArea,,
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:developmentArea,,,開発面積,,,,bldg:Buildinguro:BuildingDetailAttributeuro:developmentArea,,,,uro:BuildingDetailAttribute,uro:developmentArea,,
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:buildingStructureType,,,構造種別,,,,bldg:Buildinguro:BuildingDetailAttributeuro:buildingStructureType,,,,uro:BuildingDetailAttribute,uro:buildingStructureType,,
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:buildingStructureOrgType,,,構造種別（独自）,,,,bldg:Buildinguro:BuildingDetailAttributeuro:buildingStructureOrgType,,,,uro:BuildingDetailAttribute,uro:buildingStructureOrgType,,
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:fireproofStructureType,,,耐火構造種別,,,,bldg:Buildinguro:BuildingDetailAttributeuro:fireproofStructureType,,,,uro:BuildingDetailAttribute,uro:fireproofStructureType,,
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:implementingBody,,,事業主体,,,,bldg:Buildinguro:BuildingDetailAttributeuro:implementingBody,,,,uro:BuildingDetailAttribute,uro:implementingBody,,
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:urbanPlanType,,,都市計画区域,,,,bldg:Buildinguro:BuildingDetailAttributeuro:urbanPlanType,,,,uro:BuildingDetailAttribute,uro:urbanPlanType,,
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:areaClassificationType,,,区域区分,,,,bldg:Buildinguro:BuildingDetailAttributeuro:areaClassificationType,,,,uro:BuildingDetailAttribute,uro:areaClassificationType,,
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:districtsAndZonesType,,,地域地区,,,,bldg:Buildinguro:BuildingDetailAttributeuro:districtsAndZonesType,,,,uro:BuildingDetailAttribute,uro:districtsAndZonesType,,
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:landUseType,,,土地利用区分,,,,bldg:Buildinguro:BuildingDetailAttributeuro:landUseType,,,,uro:BuildingDetailAttribute,uro:landUseType,,
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:reference,,,図面対象番号,,,,bldg:Buildinguro:BuildingDetailAttributeuro:reference,,,,uro:BuildingDetailAttribute,uro:reference,,
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:majorUsage,,,建物利用現況（大分類）,,,,bldg:Buildinguro:BuildingDetailAttributeuro:majorUsage,,,,uro:BuildingDetailAttribute,uro:majorUsage,,
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:majorUsage2,,,建物利用現況（大分類2）,,,,bldg:Buildinguro:BuildingDetailAttributeuro:majorUsage2,,,,uro:BuildingDetailAttribute,uro:majorUsage2,,
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:orgUsage,,,建物利用現況（中分類）,,,,bldg:Buildinguro:BuildingDetailAttributeuro:orgUsage,,,,uro:BuildingDetailAttribute,uro:orgUsage,,
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:orgUsage2,,,建物利用現況（小分類）,,,,bldg:Buildinguro:BuildingDetailAttributeuro:orgUsage2,,,,uro:BuildingDetailAttribute,uro:orgUsage2,,
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:detailedUsage,,,建物利用現況（詳細分類）,,,,bldg:Buildinguro:BuildingDetailAttributeuro:detailedUsage,,,,uro:BuildingDetailAttribute,uro:detailedUsage,,
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:detailedUsage2,,,建物利用現況（詳細分類2）,,,,bldg:Buildinguro:BuildingDetailAttributeuro:detailedUsage2,,,,uro:BuildingDetailAttribute,uro:detailedUsage2,,
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:detailedUsage3,,,建物利用現況（詳細分類3）,,,,bldg:Buildinguro:BuildingDetailAttributeuro:detailedUsage3,,,,uro:BuildingDetailAttribute,uro:detailedUsage3,,
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:groundFloorUsage,,,1階用途,,,,bldg:Buildinguro:BuildingDetailAttributeuro:groundFloorUsage,,,,uro:BuildingDetailAttribute,uro:groundFloorUsage,,
